"SourceFile","ID","CreateDate","Duration","Latitude","Longitude","LatitudeDD","LongitudeDD","sDuration","Year","Month","Day","Hour"
"meta-U4nwopDNy0xS.json",NA,"2021:01:06 18:54:05","10.91 s","38 deg 53' 29.40"" N","77 deg 0' 57.24"" W",38.8915,-77.0159,10.91,2021,1,6,18
"meta-U6EA5mgSkTWR.json",NA,"2021:01:06 19:59:16","7.51 s","38 deg 53' 25.44"" N","77 deg 0' 38.88"" W",38.8904,-77.0108,7.51,2021,1,6,19
"meta-U7VsTu7M14LE.json",NA,"2021:01:06 19:23:59","0:00:54","38 deg 53' 26.52"" N","77 deg 0' 44.28"" W",38.8907,-77.0123,54,2021,1,6,19
"meta-u9hBZAW6V6Ft.json",NA,"2021:01:06 19:09:31","0:07:03","38 deg 53' 24.72"" N","77 deg 0' 38.16"" W",38.8902,-77.0106,423,2021,1,6,19
"meta-uAKQeDMoSL0c.json",NA,"2021:01:06 20:22:15","0:00:35","38 deg 53' 23.64"" N","77 deg 0' 25.56"" W",38.8899,-77.0071,35,2021,1,6,20
"meta-Uc2Ib1LReDaF.json",NA,"2021:01:06 16:57:44","0:00:51","38 deg 53' 29.04"" N","77 deg 2' 10.32"" W",38.8914,-77.0362,51,2021,1,6,16
"meta-Uc6znqKs3w7S.json",NA,"2021:01:06 19:09:31","0:07:03","38 deg 53' 24.72"" N","77 deg 0' 38.16"" W",38.8902,-77.0106,423,2021,1,6,19
"meta-UC7nTJ2ha9WM.json",NA,"2021:01:06 18:27:50","0:01:07","38 deg 53' 23.28"" N","77 deg 0' 36.72"" W",38.8898,-77.0102,67,2021,1,6,18
"meta-ucphoWjc05a0.json",NA,"2021:01:06 20:41:06","0:00:30","38 deg 53' 23.28"" N","77 deg 0' 29.88"" W",38.8898,-77.0083,30,2021,1,6,20
"meta-udvpnvQ3x4To.json",NA,"2021:01:06 23:07:05","0:00:36","38 deg 53' 22.92"" N","77 deg 0' 36.00"" W",38.8897,-77.01,36,2021,1,6,23
